airport_id,name,city,country,iata,icao,timezone,dst,tz_database_time_zone,type,source,lat/lon
1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,10,U,Pacific/Port_Moresby,airport,OurAirports,"-6.081689834590001, 145.391998291"
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,10,U,Pacific/Port_Moresby,airport,OurAirports,"-5.20707988739, 145.789001465"
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,10,U,Pacific/Port_Moresby,airport,OurAirports,"-5.826789855957031, 144.29600524902344"
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,10,U,Pacific/Port_Moresby,airport,OurAirports,"-6.569803, 146.725977"
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,10,U,Pacific/Port_Moresby,airport,OurAirports,"-9.443380355834961, 147.22000122070312"
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,10,U,Pacific/Port_Moresby,airport,OurAirports,"-3.58383011818, 143.669006348"
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,-3,E,America/Godthab,airport,OurAirports,"61.1604995728, -45.4259986877"
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,-3,E,America/Godthab,airport,OurAirports,"64.19090271, -51.6781005859"
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,-3,E,America/Godthab,airport,OurAirports,"67.0122218992, -50.7116031647"
10,Thule Air Base,Thule,Greenland,THU,BGTL,-4,E,America/Thule,airport,OurAirports,"76.5311965942, -68.7032012939"
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,0,N,Atlantic/Reykjavik,airport,OurAirports,"65.66000366210938, -18.07270050048828"
12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,0,N,Atlantic/Reykjavik,airport,OurAirports,"65.2833023071289, -14.401399612426758"
13,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,0,N,Atlantic/Reykjavik,airport,OurAirports,"64.295601, -15.2272"
14,Húsavík Airport,Husavik,Iceland,HZK,BIHU,0,N,Atlantic/Reykjavik,airport,OurAirports,"65.952301, -17.426001"
15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,0,N,Atlantic/Reykjavik,airport,OurAirports,"66.05809783935547, -23.135299682617188"
16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,0,N,Atlantic/Reykjavik,airport,OurAirports,"63.985000610352, -22.605600357056"
17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,0,N,Atlantic/Reykjavik,airport,OurAirports,"65.555801, -23.965"
18,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,0,N,Atlantic/Reykjavik,airport,OurAirports,"64.1299972534, -21.9405994415"
19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,0,N,Atlantic/Reykjavik,airport,OurAirports,"66.133301, -18.9167"
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,0,N,Atlantic/Reykjavik,airport,OurAirports,"63.42430114746094, -20.278900146484375"
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,-5,A,America/Toronto,airport,OurAirports,"46.48500061035156, -84.5093994140625"
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,CYAV,-6,A,America/Winnipeg,airport,OurAirports,"50.0564002991, -97.03250122070001"
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,CYAW,-4,A,America/Halifax,airport,OurAirports,"44.6397018433, -63.499401092499994"
24,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,-3.5,A,America/St_Johns,airport,OurAirports,"51.3918991089, -56.083099365200006"
25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,-8,A,America/Vancouver,airport,OurAirports,"49.079833, -125.775583"
26,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,-7,A,America/Edmonton,airport,OurAirports,"68.534401, -89.808098"
27,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,-5,A,America/Toronto,airport,OurAirports,"49.13249969482422, -68.20439910888672"
28,CFB Bagotville,Bagotville,Canada,YBG,CYBG,-5,A,America/Toronto,airport,OurAirports,"48.33060073852539, -70.99639892578125"
29,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,-6,A,America/Winnipeg,airport,OurAirports,"64.29889678960001, -96.077796936"
30,Campbell River Airport,Campbell River,Canada,YBL,CYBL,-8,A,America/Vancouver,airport,OurAirports,"49.950801849365234, -125.27100372314453"
31,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,-6,A,America/Winnipeg,airport,OurAirports,"49.91, -99.951897"
32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,-7,A,America/Edmonton,airport,OurAirports,"69.1081008911, -105.138000488"
33,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,-8,A,America/Vancouver,airport,OurAirports,"49.054970224899996, -123.869862556"
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,-8,A,America/Vancouver,airport,OurAirports,"49.2963981628, -117.632003784"
35,Miramichi Airport,Chatham,Canada,YCH,CYCH,-4,A,America/Halifax,airport,OurAirports,"47.007801, -65.449203"
36,Charlo Airport,Charlo,Canada,YCL,CYCL,-4,A,America/Halifax,airport,OurAirports,"47.990799, -66.330299"
37,Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,-7,A,America/Edmonton,airport,OurAirports,"67.81670379639999, -115.143997192"
38,Coronation Airport,Coronation,Canada,YCT,CYCT,-7,A,America/Edmonton,airport,OurAirports,"52.0750007629, -111.444999695"
39,Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,-8,A,America/Vancouver,airport,OurAirports,"49.1528015137, -121.939002991"
40,Clyde River Airport,Clyde River,Canada,YCY,CYCY,-5,A,America/Toronto,airport,OurAirports,"70.4860992432, -68.5167007446"
41,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,-5,A,America/Coral_Harbour,airport,OurAirports,"64.1932983398, -83.3593978882"
42,Dawson City Airport,Dawson,Canada,YDA,CYDA,-8,A,America/Vancouver,airport,OurAirports,"64.04309844970703, -139.1280059814453"
43,Burwash Airport,Burwash,Canada,YDB,CYDB,-8,A,America/Vancouver,airport,OurAirports,"61.37110137939453, -139.04100036621094"
44,Princeton Airport,Princeton,Canada,YDC,CYDC,-8,A,America/Vancouver,airport,OurAirports,"49.4681015015, -120.511001587"
45,Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,-3.5,A,America/St_Johns,airport,OurAirports,"49.21080017089844, -57.39139938354492"
46,Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,-8,A,America/Vancouver,airport,OurAirports,"58.4221992493, -130.031997681"
47,Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,-6,A,America/Winnipeg,airport,OurAirports,"51.100799560546875, -100.052001953125"
48,Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,-7,A,America/Dawson_Creek,airport,OurAirports,"55.7422981262207, -120.18299865722656"
49,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,-7,A,America/Edmonton,airport,OurAirports,"53.309700012200004, -113.580001831"
50,Arviat Airport,Eskimo Point,Canada,YEK,CYEK,-6,A,America/Winnipeg,airport,OurAirports,"61.0942001343, -94.07080078119999"
51,Estevan Airport,Estevan,Canada,YEN,CYEN,-6,N,America/Regina,airport,OurAirports,"49.2103004456, -102.966003418"
52,Edson Airport,Edson,Canada,YET,CYET,-7,A,America/Edmonton,airport,OurAirports,"53.578899383499994, -116.464996338"
53,Eureka Airport,Eureka,Canada,YEU,CYEU,-6,A,America/Winnipeg,airport,OurAirports,"79.9946975708, -85.814201355"
54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,-7,A,America/Edmonton,airport,OurAirports,"68.30419921880001, -133.483001709"
55,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,-5,A,America/Toronto,airport,OurAirports,"63.756401062, -68.5558013916"
56,Fredericton Airport,Fredericton,Canada,YFC,CYFC,-4,A,America/Halifax,airport,OurAirports,"45.868900299072266, -66.53720092773438"
57,Forestville Airport,Forestville,Canada,\N,CYFE,-5,A,America/Toronto,airport,OurAirports,"48.74610137939453, -69.09719848632812"
58,Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,-6,A,America/Winnipeg,airport,OurAirports,"54.6781005859375, -101.68199920654297"
59,Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,-7,A,America/Edmonton,airport,OurAirports,"61.1808013916, -113.690002441"
60,Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,-7,A,America/Edmonton,airport,OurAirports,"61.76020050048828, -121.23699951171875"
61,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,-5,A,America/Toronto,airport,OurAirports,"44.22529983520508, -76.5969009399414"
62,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,-5,A,America/Toronto,airport,OurAirports,"53.625301361083984, -77.7042007446289"
63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,-5,A,America/Toronto,airport,OurAirports,"48.7752990723, -64.4785995483"
64,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,-5,A,America/Toronto,airport,OurAirports,"49.77830123901367, -86.93939971923828"
65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,-5,A,America/Toronto,airport,OurAirports,"47.42470169067383, -61.778099060058594"
66,Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,-6,N,America/Regina,airport,OurAirports,"52.8166999817, -102.310997009"
67,Dryden Regional Airport,Dryden,Canada,YHD,CYHD,-6,A,America/Winnipeg,airport,OurAirports,"49.83169937133789, -92.74420166015625"
68,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,-7,A,America/Edmonton,airport,OurAirports,"70.76280212402344, -117.80599975585938"
69,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,-7,A,America/Edmonton,airport,OurAirports,"68.635597229, -95.84970092770001"
70,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,-5,A,America/Toronto,airport,OurAirports,"43.173599243199995, -79.93499755859999"
71,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,-5,A,America/Toronto,airport,OurAirports,"45.5175018311, -73.4169006348"
72,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,-7,A,America/Edmonton,airport,OurAirports,"60.8396987915, -115.782997131"
73,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,-4,A,America/Halifax,airport,OurAirports,"44.8807983398, -63.5085983276"
74,Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,-5,A,America/Coral_Harbour,airport,OurAirports,"48.7738990784, -91.6386032104"
75,Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,-5,A,America/Toronto,airport,OurAirports,"72.6832962036, -77.9666976929"
76,St Jean Airport,St. Jean,Canada,YJN,CYJN,-5,A,America/Toronto,airport,OurAirports,"45.29439926147461, -73.28109741210938"
77,Stephenville Airport,Stephenville,Canada,YJT,CYJT,-3.5,A,America/St_Johns,airport,OurAirports,"48.5442008972168, -58.54999923706055"
78,Kamloops Airport,Kamloops,Canada,YKA,CYKA,-8,A,America/Vancouver,airport,OurAirports,"50.7022018433, -120.444000244"
79,Waterloo Airport,Waterloo,Canada,YKF,CYKF,-5,A,America/Toronto,airport,OurAirports,"43.460800170899994, -80.3786010742"
80,Schefferville Airport,Schefferville,Canada,YKL,CYKL,-5,A,America/Toronto,airport,OurAirports,"54.805301666259766, -66.8052978515625"
81,Kindersley Airport,Kindersley,Canada,YKY,CYKY,-6,N,America/Regina,airport,OurAirports,"51.5175018311, -109.180999756"
82,Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,-5,A,America/Toronto,airport,OurAirports,"43.86220169067383, -79.37000274658203"
83,Chapleau Airport,Chapleau,Canada,YLD,CYLD,-5,A,America/Toronto,airport,OurAirports,"47.81999969482422, -83.3467025756836"
84,Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,-6,N,America/Regina,airport,OurAirports,"54.125301361083984, -108.52300262451172"
85,Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,-7,A,America/Edmonton,airport,OurAirports,"53.309200286865234, -110.072998046875"
86,Alert Airport,Alert,Canada,YLT,CYLT,-5,A,America/Toronto,airport,OurAirports,"82.51779937740001, -62.2806015015"
87,Kelowna International Airport,Kelowna,Canada,YLW,CYLW,-8,A,America/Vancouver,airport,OurAirports,"49.9561004639, -119.377998352"
88,Mayo Airport,Mayo,Canada,YMA,CYMA,-8,A,America/Vancouver,airport,OurAirports,"63.61640167236328, -135.8679962158203"
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,-6,N,America/Regina,airport,OurAirports,"50.330299377441406, -105.55899810791016"
90,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,-7,A,America/Edmonton,airport,OurAirports,"56.653301239, -111.222000122"
91,Moosonee Airport,Moosonee,Canada,YMO,CYMO,-5,A,America/Toronto,airport,OurAirports,"51.291099548339844, -80.60780334472656"
92,Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,-5,A,America/Toronto,airport,OurAirports,"46.2728004456, -75.9906005859"
93,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,-5,A,America/Toronto,airport,OurAirports,"45.6795005798, -74.0386962891"
94,Natashquan Airport,Natashquan,Canada,YNA,CYNA,-5,A,America/Toronto,airport,OurAirports,"50.189998626708984, -61.78919982910156"
